Entity,http://www.w3.org/2000/01/rdf-schema#label,https://www.fns-cloud.eu/foodComponents/FNS_H_0000003000,
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003102,"'fatty acid 12:1'	'MK 12:1'","'F12:1'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003103,"'fatty acid 12:1 cis'	'MK 12:1 cis'","'F12:1CIS'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003104,"'Lauroleinska kislina (MK 12:1)'	'fatty acid 12:1 (lauroleic acid)'","'F12:1CN3'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003105,"'fatty acid 12:1 trans'	'MK 12:1 trans'","'F12:1TRS'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003106,"'Tridekanojska kislina (MK 13:0)'	'fatty acid 13:0 (tridecanoic acid)'","'F13:0'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003107,"'Isotridekanojska kislina (MK 13:0 iso)'	'fatty acid 13:0 iso (isotridecanoic acid)'","'F13:0I'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003108,"'Miristinska kislina (MK 14:0)'	'fatty acid 14:0 (myristic acid)'","'F14:0'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003109,"'fatty acid 14:0 anteiso'","'F14:0AI'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003110,"'fatty acid 14:0 iso'","'F14:0I'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003111,"'fatty acid 14:1'	'MK 14:1'","'F14:1'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003112,"'MK 14:1 cis'	'fatty acid 14:1 cis'","'F14:1CIS'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003113,"'Miristooleinska kislina (MK 14:1 omega-5 cis)'	'fatty acid 14:1 n-5 cis (myristoleic acid)'","'F14:1CN5'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003114,"'fatty acid 14:1 n-5 trans (myristelaidic acid)'	'Tetradekaenojska kislina (MK 14:1 omega-5 trans)'","'F14:1TN5'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003115,"'Pentadekanojska kislina (MK 15:0)'	'fatty acid 15:0 (pentadecylic acid)'","'F15:0'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003116,"'fatty acid 15:0 anteiso'","'F15:0AI'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003117,"'fatty acid 15:0 iso'	'C15_0_iso'","'F15:0I'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003118,"'Pentadekaenojska kislina (MK 15:1)'	'fatty acid 15:1 (pentadecenoic acid)'","'F15:1'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003119,"'fatty acid 15:1 n-8 cis'	'MK 15:1 omega-8 cis'","'F15:1CN8'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003120,"'fatty acid 16:0 (palmitic acid)'	'Palmitinska kislina (MK 16:0)'","'F16:0'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003121,"'fatty acid 16:0 anteiso'","'F16:0AI'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003122,"'C16:0 iso'	'fatty acid 16:0 iso'","'F16:0I'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003123,"'MK 16:1'	'fatty acid 16:1'","'F16:1'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003124,"'fatty acid 16:1 cis'	'MK 16:1 cis'","'F16:1CIS'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003125,"'fatty acid 16:1 n-5 cis'	'MK 16:1 omega-5 cis'","'F16:1CN5'",
